Benchmarks time
1 0.23
2 0.08
3 0.58
4 0.27
5 0.24
6 1.00
7 0.08
8 0.08
9 0.08
10 0.08
11 0.08
12 0.08
13 0.14
14 73.03
15 0.39
16 0.69
17 0.60
18 1.60
19 2.10
20 6.24
21 3.54
22 0.08
23 0.52
24 1.03
25 2.28
26 3.74
27 2.46
28 269.54
29 0.24
30 2.38
31 0.09
32 0.08
33 0.08
34 0.32
35 0.09
36 0.43
37 5.26
38 7.94
39 46.50
40 2.18
41 148.69
42 2.39
43 70.92
44 225.31
45 341.64
46 238.67
47 10.69
48 551.67
49 511.60
50 168.50
51 33.64
52 35.69
53 46.86
54 110.27
55 1.79
56 0.67
57 76.97
58 47.28
59 139.02
60 57.45
61 0.28
62 0.38
63 0.14
64 0.39
65 0.15
66 0.27
67 0.11
68 0.39
69 0.15
70 0.11
71 0.11
72 0.11
73 0.31






