Benchmarks Time
1 0.09
2 0.12
3 0.18
4 0.19
5 0.28
6 0.33
7 0.38
8 1.27
9 1.56
10 1.61
11 2.11
12 3.15
13 4.13
14 4.39
15 5.31
16 6.14
17 6.39
18 7.11
19 8.24
20 9.15
21 9.28
22 9.67
23 10.18
24 10.26
25 10.27
26 10.39
27 10.39
28 10.69
29 11.79
30 12.14
31 12.23
32 12.24
33 12.28
34 12.34
35 12.39
36 14.08
37 14.34
38 14.58
39 15.74
40 16.03
41 16.08
42 18.14
43 20.08
44 20.38
45 20.58
46 20.69
47 21.08
48 21.46
49 22.28
50 23.08
51 23.13
52 23.13
53 24.1
54 24.14
55 30.6
56 31.54
57 31.6
58 31.74
59 33.64
60 34.08
61 35.69
62 45.52
63 45.66
64 46.5
65 46.86
66 47.28
67 48.15
68 57.45
69 61.24
70 65.08
71 70.92
72 72.33
73 73.03
74 76.97
75 78.64
76 83.69
77 90.27
78 91.5
79 111.6
80 118.02
81 119.54
82 120.52
83 122.67
84 125.31
85 128.67
