Benchmarks Time
1 0.05
2 0.06
3 0.1
4 0.11
5 0.13
6 0.12
7 0.14
8 200
9 0.21
10 200
11 0.67
12 1.15
13 1.13
14 1.39
15 2.31
16 200
17 200
18 2.91
19 200
20 2.95
21 3.78
22 200
23 3.48
24 4.26
25 200
26 7.39
27 3.39
28 4.69
29 4.79
30 5.14
31 7.23
32 200
33 5.28
34 5.34
35 8.39
36 200
37 5.38
38 5.58
39 200
40 7.03
41 200
42 8.14
43 200
44 6.38
45 200
46 200
47 200
48 200
49 200
50 200
51 200
52 200
53 200
54 200
55 200
56 200
57 200
58 200
59 200
60 200
61 200
62 200
63 200
64 200
65 200
66 200
67 200
68 200
69 200
70 200
71 200
72 200
73 200
74 200
75 200
76 200
77 200
78 200
79 200
80 200
81 200
82 200
83 200
84 200
85 200
