Benchmarks time
1	20.112
2	60.112
3	30.113
4	40.112
5	70.115
6	15.114
7	10.114
8	11.112
9	34.116
10 30.112
11	45.116
12	23.111
13	34.114
14	86.118
15	22.114
16	28.114
17	45.113
18	35.113
19	67.114
20	81.117
21	28.117
22	18.116
23	56.113
24	18.115
25	34.116
26	89.113
27	35.113
28	184.126
29	34.116
30	19.115
31	0.113
32	0.115
33	0.114
34	0.113
35	0.114
36	0.114
37	6.115
38	10.115
39	67.115
40	5.123
41	167.115
42	3.143
43	60.116
44	148.124
45	154.126
46	143.121
47	7.243
48	187.263
49	145.113
50	172.123
51	38.114
52	41.119
53	54.114
54	123.113
55	8.114
56	0.914
57  80.136158
58 54.322934
59 145.136367
60 82.285864
61 0.441836
62 0.121832
63 0.152594
64 0.152594
65 0.1596
66 0.134791
67 0.154845
68 0.139726
69 0.138306
70 0.135024
71 0.135024
72 0.138075
73 0.151105
74 0.138954
75 22.148006
76 8.130314
77 17.132849
78 56.106618
79 57.141115
80 184.152168
81 34.13588
82 23.139251
83 25.137446
84 73.136333
85 35.136333
