benchmark time
1 0.113
2 0.23
3 0.34
4 0.27
5 0.45
6 0.41
7 0.48
8 1.49
9 2.62
10 2.54
11 3.68
12 5.86
13 6.13
14 6.43
15 7.45
16 7.95
17 8.35
18 8.48
19 70.115
20 10.15
21 10.44
22 10.91
23 11.92
24 12.11
25 40.112
26 22.114
27 11.14
28 13.24
29 13.85
30 8.19
31 8.112
32 9.116
33 7.64
34 11.78
35 9.139251
36 10.98
37 11.114
38 13.132849
39 10.137446
40 11.115
41 23.111
42 22.148006
43 18.116
44 19.115
45 30.113
46 28.114
47 45.116
48 35.113
49 34.116
50 30.112
51 35.136333
52 34.13588
53 67.114
54 34.114
55 45.113
56 28.117
57 35.113
58 89.113
59 38.114
60 23.112
61 28.119
62 35.113
63 39.106618
64 42.115
65 41.114
66 43.322934
67 41.141115
68 50.285864
69 57.117
70 55.116
71 60.116
72 73.136333
73 86.118
74 80.136158
75 154.126
76 167.115
77 123.113
78 172.123
79 145.113
80 145.136367
81 184.126
82 184.152168
83 187.263
84 148.124
85 143.121
