benchmark time
1 0.143
2 0.33
3 0.36
4 0.28
5 0.49
6 0.49
7 0.49
8 1.80
9 2.65
10 3.54
11 3.88
12 4.16
13 6.33
14 6.63
15 7.85
16 8.05
17 10.35
18 10.48
19 73.115
20 11.15
21 11.44
22 11.91
23 12.92
24 14.11
25 43.112
26 25.114
27 12.14
28 15.24
29 15.85
30 9.19
31 8.13
32 10.116
33 8.64
34 13.78
35 10.139251
36 11.98
37 12.114
38 14.132849
39 11.137446
40 12.115
41 25.111
42 21.148006
43 19.116
44 20.115
45 32.113
46 29.114
47 47.116
48 37.113
49 36.116
50 33.112
51 35.236333
52 34.23588
53 67.214
54 34.214
55 45.213
56 28.317
57 35.413
58 89.513
59 38.614
60 23.712
61 28.819
62 35.913
63 40.106618
64 43.115
65 43.114
66 45.322934
67 46.141115
68 54.285864
69 58.117
70 51.116
71 62.116
72 75.136333
73 86.218
74 80.236158
75 155.126
76 168.115
77 125.113
78 179.123
79 156.113
80 148.136367
81 189.126
82 189.152168
83 189.263
84 165.124
85 156.121
