Forward Chaotic label
0.16 0.19 u
0.08 0.07 s
0.68 0.66 s
0.28 0.31 u
0.78 0.49 s
2.15 2.27 s
0.08 0.07 u
0.08 0.07 s
0.08 0.08 u
0.08 0.08 u
0.08 0.08 s
0.08 0.07 s
0.2 0.13 s
88.88 72.58 s
0.26 0.37 s
1.71 0.66 s
0.82 1.57 u
41.19 33.57 u
2.2 2.13 s
3.02 6.21 s
2.59 3.55 u
0.24 0.22 u
0.43 0.31 u
0.26 0.15 s
0.44 0.31 u
0.27 0.16 s
0.24 0.22 u
0.22 0.11 s
0.43 0.31 u
0.26 0.16 s
0.1 0.09 u
0.1 0.09 s
0.1 0.09 u
0.54 0.28 s
0.08 0.07 u
0.47 0.45 u
42.44 38.23 u
62.06 49.82 u
34.09 6.97 u
2.47 11.6 s
122.1 24.47 s
2.07 2.2 u
0.72 0.23 s
27.4 22.15 u
0.08 0.07 u
0.08 0.07 s
1.53 0.31 s
0.34 0.08 s
6.53 0.44 s
112.06 17.54 s
106.36 22.94 u
120.55 114.61 s
1.18 2.38 s
129.53 181.44 s
48 103.09 s
169.56 15.97 s
16.57 15.47 s
177.47 160.27 s
100.03 82.67 s
0.49 0.14 s
0.09 0.07 s
0.4 0.42 s
19.08 6.06 s
0.16 0.15 s
0.1 0.08 s
119.12 107.53 u
200 132.34 
200 56.78 
78.23 65.08 
80.12 70.92 
89.93 72.33 
104.24 73.03 
145.52 76.97 
89.02 78.64 
98.67 83.69 
109.56 90.27 
120.34 91.5 
140.56 111.02 
167.87 118.02 
156.78 119.34 
200 200 
200 200 
200 200 
200 200 
