SAT ACDCL label
4 1	u
1261	1	s
259	3	u
1261	1	s
1520	1	s
68	1	u
68	18	u
84	12	u
12	1	s
2908	1	s
69	1	s
130	5	u
105	33	u
1264	2	u
68	1	u
260	1	u
1	1	s
164	1	u
1	1	s
68	1	u
1	1	s
20	1	u
1	1	s
204	17	u
227	19	u
48	7	u
68	22	u
100	37	u
134	40	u
36	5	u
582	18	s
214	45	u
1	1	s
131	36	u
4	1	u
62	1	s
68	8	u
240	20	s
2977	29	s
2831	56	s
201	12	s
74	34	s
4991 102	s
4991	1258	s
6	1	s
5	1	s
4	1	s
35	15	s
99	13	u
450	67	u
248	34	s
2957 54		s
2123	89	s
345	12	s
89	34	s
5672 149	s
457	125	s
9	6	s
15	10	s
32	2	s
45	15	s
109	13	u
82	56	s
668	82	u
20	12	s
2998 104	s
