#Benchmark Time
1 0.09
2 0.32
3 0.08
4 0.09
5 0.43
6 0.08
7 0.38
8 0.27
9 0.11
10 0.11
11 0.11
12 0.15
13 8.13
14 0.39
15 0.31
16 0.14
17 0.39
18 0.11
19 0.15
20 0.28
21 0.67
22 2.39
23 2.18
24 5.26
25 10.69
26 1.79
27 6.14
28 2.08
29 7.94
30 8.08
31 6
32 12.28
33 12.03
34 20.08
35 20.38
36 12.23
37 10.39
38 18.14
39 16.08
40 12.39
41 15.74
42 20.69
43 31.54
44 23.08
45 20.58
46 24.14
47 65.08
48 22.28
49 12.24
50 23.13
51 31.6
52 21.46
53 23.13
54 33.64
55 10.27
56 35.69
57 30.6
58 21.08
59 46.86
60 47.28
61 45.66
62 45.52
63 48.15
64 34.08
65 70.92
66 24.1
67 46.5
68 8.24
69 72.33
70 76.97
71 61.24
72 57.45
73 73.03
74 31.74
75 110.27
76 138.67
77 111.6
78 139.02
79 125.31
80 141.64
81 148.69
82 168.5
83 169.54
84 178.52
85 151.67
