Benchmarks time
1 0.09
2 0.12
3 0.18
4 0.19
5 0.33
6 0.28
7 0.38
8 1.27
9 1.61
10 1.56
11 2.11
12 3.15
13 4.13
14 4.39
15 5.31
16 6.14
17 6.39
18 7.11
19 9.15
20 9.28
21 9.67
22 10.39
23 10.18
24 10.26
25 10.69
26 11.79
27 12.14
28 12.28
29 12.34
30 14.08
31 14.34
32 14.58
33 16.03
34 20.08
35 20.38
36 12.23
37 10.39
38 18.14
39 16.08
40 12.39
41 15.74
42 20.69
43 31.54
44 23.08
45 20.58
46 24.14
47 65.08
48 22.28
49 12.24
50 23.13
51 31.6
52 21.46
53 23.13
54 33.64
55 10.27
56 35.69
57 30.6
58 21.08
59 46.86
60 47.28
61 45.66
62 45.52
63 48.15
64 34.08
65 70.92
66 24.1
67 46.5
68 8.24
69 72.33
70 76.97
71 61.24
72 57.45
73 73.03
74 31.74
75 90.27
76 128.67
77 111.6
78 118.02
79 125.31
80 78.64
81 83.69
82 91.50
83 119.54
84 120.52
85 122.67
