Benchmarks time
1 0.05
2 0.06
3 0.10
4 0.11
5 0.12
6 0.13
7 0.14
8 200
9 200
10 0.21
11 0.67
12 1.15
13 1.13
14 1.39
15 2.31
16 200
17 200
18 2.91
19 2.95
20 3.78
21 200
22 3.39
23 3.48
24 4.26
25 4.69
26 4.79
27 5.14
28 5.28
29 5.34
30 200
31 5.38
32 5.58
33 7.03
34 200
35 6.38
36 7.23
37 7.39
38 8.14
39 200
40 8.39
41 200
42 200
43 200
44 200
45 200
46 200
47 200
48 200
49 200
50 200
51 200
52 200
53 200
54 200
55 200
56 200
57 200
58 200
59 200
60 200
61 200
62 200
63 200
64 200
65 200
66 200
67 200
68 200
69 200
70 200
71 200
72 200
73 200
74 200
75 200
76 200
77 200
78 200
79 200
80 200
81 200
82 200
83 200
84 200
85 200
