Benchmarks time
1 0.113
2 0.43
3 0.114
4 0.15
5 0.41
6 0.11
7 0.401832
8 0.314791
9 0.135024
10 0.135024
11 0.138075
12 0.138306
13 10.138954
14 0.439726
15 0.451105
16 0.152594
17 0.352594
18 0.154845
19 0.1596
20 0.441836
21 0.914
22 3.143
23 5.123
24 6.115
25 7.243
26 8.114
27 8.130314
28 10.114
29 10.115
30 11.112
31 15.114
32 17.132849
33 18.115
34 18.116
35 19.115
36 20.112
37 22.114
38 22.148006
39 23.111
40 23.139251
41 25.137446
42 28.114
43 28.117
44 30.112
45 30.113
46 34.114
47 34.116
48 34.116
49 34.116
50 34.13588
51 35.113
52 35.113
53 35.136333
54 38.114
55 40.112
56 41.119
57 45.113
58 45.116
59 54.114
60 54.322934
61 56.106618
62 56.113
63 57.141115
64 60.112
65 60.116
66 67.114
67 67.115
68 70.115
69 73.136333
70 80.136158
71 81.117
72 82.285864
73 86.118
74 89.113
75 123.113
76 143.121
77 145.113
78 145.136367
79 148.124
80 154.126
81 167.115
82 172.123
83 184.126
84 184.152168
85 187.263
